Pairs,Cosine Distance
"(6, 71)",0.010062535630988884
"(6, 72)",0.009311285136788146
"(6, 73)",0.012616296711032354
"(6, 74)",0.008656566582485153
"(6, 75)",0.012105768002981028
"(6, 76)",0.008600304095263434
"(6, 77)",0.010125588248891025
"(6, 78)",0.011226159379941975
"(6, 79)",0.007906725401682477
"(6, 80)",0.01220171889607264
"(6, 81)",0.008521973752669018
"(6, 82)",0.010517457417599121
"(6, 83)",0.009688745625686146
"(6, 84)",0.009453193474126417
"(6, 85)",0.00893280759347601
"(6, 86)",0.00796575371180804
"(6, 87)",0.010241335715765739
"(6, 88)",0.009654978781534217
"(6, 89)",0.01215087923482158
"(7, 7)",0.010318754850334708
"(7, 8)",0.00011493223436611925
"(7, 9)",0.010460371389972266
"(7, 10)",0.00960714073345064
"(7, 11)",0.00010530450054035262
"(7, 12)",0.008267456432176327
"(7, 13)",0.009401462566353347
"(7, 14)",0.009555530139631643
"(7, 15)",0.008265587095400819
"(7, 16)",0.009758650134450928
"(7, 17)",0.008715021783114495
"(7, 18)",0.00852317772778939
"(7, 19)",0.008751792477403845
"(7, 20)",0.009520997526993846
"(7, 21)",0.007745096376022914
"(7, 22)",0.011604710279605484
"(7, 23)",0.011155486716433398
"(7, 24)",0.012287892891203432
"(7, 25)",0.008280736636880535
"(7, 26)",0.007908643706730075
"(7, 27)",0.010707224470806524
"(7, 28)",0.007024910112958613
"(7, 29)",0.010724627381705982
"(7, 30)",0.009020515227097835
"(7, 31)",0.010575324248890454
"(7, 32)",0.011091288485603604
"(7, 33)",0.010890546191150116
"(7, 34)",0.008616446884311235
"(7, 35)",0.009195412668035207
"(7, 36)",0.009921184462772606
"(7, 37)",0.00865991062050112
"(7, 38)",0.011304959486455086
"(7, 39)",0.012434618665538976
"(7, 40)",0.01089921509547554
"(7, 41)",0.00777348310987606
"(7, 42)",0.008847140571702107
"(7, 43)",0.009936478898825799
"(7, 44)",0.007028448438893043
"(7, 45)",0.009760465301716616
